Name,Primary,Diameter,Mass,Distance,Start Angle,Orbit Time (Negative if retrograde),Is Satellite,Texture
Sol,,1392700.00,1989000000000000000000000000000.00,0.00,0.00,0.00,1.00,
Mercury,Sol,4880.00,330000000000000000000000.00,57909227.00,0.51,7600000.00,1.00,
Venus,Sol,12104.00,4870000000000000000000000.00,108209475.00,3.10,19400000.00,1.00,
Earth,Sol,12742.00,5970000000000000000000000.00,149598262.00,4.89,31600000.00,1.00,
Mars,Sol,6779.00,642000000000000000000000.00,227943824.00,5.05,59400000.00,1.00,
Jupiter,Sol,139820.00,1900000000000000000000000000.00,778340821.00,0.10,374000000.00,1.00,
Saturn,Sol,116460.00,568000000000000000000000000.00,1426666422.00,2.88,930000000.00,1.00,
Uranus,Sol,50724.00,86800000000000000000000000.00,2870658186.00,1.41,2600000000.00,1.00,
Neptune,Sol,49244.00,102000000000000000000000000.00,4498396441.00,5.43,5200000000.00,1.00,
Luna,Earth,3474.80,73500000000000000000000.00,384400.00,0.00,2360520.00,1.00,
Ganymede,Jupiter,5268.20,148190000000000000000000.00,1070400.00,0.54,618243.84,1.00,
Callisto,Jupiter,4820.60,107590000000000000000000.00,1882700.00,0.24,1442016.00,1.00,
Io,Jupiter,3643.20,89300000000000000000000.00,421800.00,2.22,152297.28,1.00,
Europa,Jupiter,3121.60,48000000000000000000000.00,671100.00,1.11,304603.20,1.00,
Mimas,Saturn,396.40,37500000000000000000.00,185520.00,2.91,81720.00,1.00,
Enceladus,Saturn,504.20,108022000000000000000.00,238000.00,0.44,118440.00,1.00,
Tethys,Saturn,1066.00,617450000000000000000.00,294619.00,5.72,163080.00,1.00,
Dione,Saturn,1122.00,1096000000000000000000.00,377396.00,3.18,236775.00,1.00,
Rhea,Saturn,1528.00,2300000000000000000000.00,527040.00,1.09,390630.00,1.00,
Titan,Saturn,5150.00,134550000000000000000000.00,1221830.00,4.50,1377000.00,1.00,
Iapetus,Saturn,1460.00,1600000000000000000000.00,3561000.00,6.03,6853000.00,1.00,
Titania,Uranus,1577.80,3530000000000000000000.00,435910.00,0.62,752760.00,1.00,
Oberon,Uranus,1522.80,3010000000000000000000.00,583520.00,3.41,1166400.00,1.00,
Umbriel,Uranus,1169.40,1270000000000000000000.00,266000.00,5.02,359040.00,1.00,
Ariel,Uranus,1157.80,1290000000000000000000.00,190900.00,1.87,217920.00,1.00,
Miranda,Uranus,471.60,65900000000000000000.00,129900.00,4.56,121680.00,1.00,
Triton,Neptune,2700.00,21400000000000000000000.00,354800.00,1.89,-5088000.00,1.00,
Phosphoros,Proxima Centauri,11977.48,6387900000000000000000000.00,7200000.00,2.5398,968000.00,1.00,
Proxima Centauri d,Proxima Centauri,8351.76,1552200000000000000000000.00,4323378.46,1.11,440640.00,1.00,Proxima-Centauri-d
