Sol,,1392700.00,2990000000000000000000000000000.00,0.00,0.00,0.00
Mercury,Sol,4880.00,330000000000000000000000.00,57909227.00,0.51,7600000.00
Venus,Sol,12104.00,4870000000000000000000000.00,108209475.00,3.10,19400000.00
Earth,Sol,12742.00,5970000000000000000000000.00,149598262.00,4.89,31600000.00
Mars,Sol,6779.00,642000000000000000000000.00,227943824.00,5.05,59400000.00
Jupiter,Sol,139820.00,1900000000000000000000000000.00,778340821.00,0.10,374000000.00
Saturn,Sol,116460.00,568000000000000000000000000.00,1426666422.00,2.88,930000000.00
Uranus,Sol,50724.00,86800000000000000000000000.00,2870658186.00,1.41,2600000000.00
Neptune,Sol,49244.00,102000000000000000000000000.00,4498396441.00,5.43,5200000000.00
Luna,Earth,3474.80,73500000000000000000000.00,384400.00,0.00,2360520.00
